Date,Event_Name,User_ID,Session_ID,Time_on_Task_Seconds,Task_Completed,Retry_Attempts,Feature_Area,User_Role,Funnel_Step_Order
2024-12-01,Open_Assignments,T1001,S10001,12,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-01,Open_Assignments,T1002,S10002,8,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-01,Open_Assignments,T1003,S10003,15,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-01,Open_Assignments,T1004,S10004,10,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-01,Open_Assignments,T1005,S10005,9,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-01,Click_Create_New,T1001,S10001,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-01,Click_Create_New,T1002,S10002,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-01,Click_Create_New,T1003,S10003,6,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-01,Click_Create_New,T1004,S10004,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-01,Select_Content,T1001,S10001,45,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-01,Select_Content,T1002,S10002,38,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-01,Select_Content,T1003,S10003,52,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-01,Open_Differentiation,T1001,S10001,23,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-01,Open_Differentiation,T1002,S10002,18,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-01,Configure_Levels,T1001,S10001,156,FALSE,3,Assessment_Assignment,Teacher,5
2024-12-01,Configure_Levels,T1002,S10002,189,TRUE,2,Assessment_Assignment,Teacher,5
2024-12-01,Assign_To_Groups,T1002,S10002,67,TRUE,1,Assessment_Assignment,Teacher,6
2024-12-01,Complete_And_Publish,T1002,S10002,34,TRUE,0,Assessment_Assignment,Teacher,7
2024-12-02,Open_Assignments,T1006,S10006,11,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-02,Open_Assignments,T1007,S10007,14,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-02,Open_Assignments,T1008,S10008,9,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-02,Open_Assignments,T1009,S10009,12,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-02,Open_Assignments,T1010,S10010,8,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-02,Click_Create_New,T1006,S10006,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-02,Click_Create_New,T1007,S10007,6,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-02,Click_Create_New,T1008,S10008,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-02,Click_Create_New,T1009,S10009,7,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-02,Select_Content,T1006,S10006,41,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-02,Select_Content,T1007,S10007,55,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-02,Select_Content,T1008,S10008,48,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-02,Open_Differentiation,T1006,S10006,21,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-02,Open_Differentiation,T1007,S10007,25,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-02,Configure_Levels,T1006,S10006,234,FALSE,5,Assessment_Assignment,Teacher,5
2024-12-02,Configure_Levels,T1007,S10007,178,FALSE,4,Assessment_Assignment,Teacher,5
2024-12-03,Open_Assignments,T1011,S10011,10,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-03,Open_Assignments,T1012,S10012,13,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-03,Open_Assignments,T1013,S10013,11,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-03,Open_Assignments,T1014,S10014,9,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-03,Open_Assignments,T1015,S10015,12,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-03,Open_Assignments,T1016,S10016,8,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-03,Click_Create_New,T1011,S10011,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-03,Click_Create_New,T1012,S10012,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-03,Click_Create_New,T1013,S10013,6,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-03,Click_Create_New,T1014,S10014,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-03,Click_Create_New,T1015,S10015,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-03,Select_Content,T1011,S10011,43,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-03,Select_Content,T1012,S10012,51,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-03,Select_Content,T1013,S10013,39,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-03,Select_Content,T1014,S10014,47,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-03,Open_Differentiation,T1011,S10011,19,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-03,Open_Differentiation,T1012,S10012,22,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-03,Configure_Levels,T1011,S10011,145,FALSE,3,Assessment_Assignment,Teacher,5
2024-12-03,Configure_Levels,T1012,S10012,167,TRUE,2,Assessment_Assignment,Teacher,5
2024-12-03,Assign_To_Groups,T1012,S10012,78,FALSE,2,Assessment_Assignment,Teacher,6
2024-12-04,Open_Assignments,T1017,S10017,11,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-04,Open_Assignments,T1018,S10018,9,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-04,Open_Assignments,T1019,S10019,14,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-04,Open_Assignments,T1020,S10020,10,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-04,Open_Assignments,T1021,S10021,12,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-04,Click_Create_New,T1017,S10017,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-04,Click_Create_New,T1018,S10018,6,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-04,Click_Create_New,T1019,S10019,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-04,Click_Create_New,T1020,S10020,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-04,Select_Content,T1017,S10017,44,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-04,Select_Content,T1018,S10018,49,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-04,Select_Content,T1019,S10019,38,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-04,Open_Differentiation,T1017,S10017,20,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-04,Open_Differentiation,T1018,S10018,24,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-04,Configure_Levels,T1017,S10017,198,FALSE,4,Assessment_Assignment,Teacher,5
2024-12-04,Configure_Levels,T1018,S10018,156,TRUE,3,Assessment_Assignment,Teacher,5
2024-12-04,Assign_To_Groups,T1018,S10018,89,TRUE,1,Assessment_Assignment,Teacher,6
2024-12-04,Complete_And_Publish,T1018,S10018,28,TRUE,0,Assessment_Assignment,Teacher,7
2024-12-05,Open_Assignments,T1022,S10022,10,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-05,Open_Assignments,T1023,S10023,13,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-05,Open_Assignments,T1024,S10024,11,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-05,Open_Assignments,T1025,S10025,9,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-05,Click_Create_New,T1022,S10022,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-05,Click_Create_New,T1023,S10023,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-05,Click_Create_New,T1024,S10024,6,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-05,Select_Content,T1022,S10022,46,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-05,Select_Content,T1023,S10023,52,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-05,Open_Differentiation,T1022,S10022,21,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-05,Open_Differentiation,T1023,S10023,19,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-05,Configure_Levels,T1022,S10022,212,FALSE,5,Assessment_Assignment,Teacher,5
2024-12-05,Configure_Levels,T1023,S10023,134,TRUE,2,Assessment_Assignment,Teacher,5
2024-12-05,Assign_To_Groups,T1023,S10023,72,TRUE,1,Assessment_Assignment,Teacher,6
2024-12-05,Complete_And_Publish,T1023,S10023,31,TRUE,0,Assessment_Assignment,Teacher,7
2024-12-06,Open_Assignments,T1026,S10026,12,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-06,Open_Assignments,T1027,S10027,9,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-06,Open_Assignments,T1028,S10028,11,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-06,Open_Assignments,T1029,S10029,14,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-06,Open_Assignments,T1030,S10030,10,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-06,Click_Create_New,T1026,S10026,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-06,Click_Create_New,T1027,S10027,6,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-06,Click_Create_New,T1028,S10028,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-06,Click_Create_New,T1029,S10029,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-06,Select_Content,T1026,S10026,48,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-06,Select_Content,T1027,S10027,41,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-06,Select_Content,T1028,S10028,55,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-06,Open_Differentiation,T1026,S10026,23,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-06,Open_Differentiation,T1027,S10027,18,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-06,Configure_Levels,T1026,S10026,187,FALSE,4,Assessment_Assignment,Teacher,5
2024-12-06,Configure_Levels,T1027,S10027,145,TRUE,2,Assessment_Assignment,Teacher,5
2024-12-06,Assign_To_Groups,T1027,S10027,65,FALSE,2,Assessment_Assignment,Teacher,6
2024-12-07,Open_Assignments,T1031,S10031,11,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-07,Open_Assignments,T1032,S10032,10,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-07,Open_Assignments,T1033,S10033,13,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-07,Open_Assignments,T1034,S10034,9,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-07,Click_Create_New,T1031,S10031,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-07,Click_Create_New,T1032,S10032,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-07,Click_Create_New,T1033,S10033,6,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-07,Select_Content,T1031,S10031,42,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-07,Select_Content,T1032,S10032,50,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-07,Open_Differentiation,T1031,S10031,20,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-07,Configure_Levels,T1031,S10031,223,FALSE,6,Assessment_Assignment,Teacher,5
2024-12-08,Open_Assignments,T1035,S10035,10,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-08,Open_Assignments,T1036,S10036,12,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-08,Open_Assignments,T1037,S10037,11,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-08,Open_Assignments,T1038,S10038,9,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-08,Open_Assignments,T1039,S10039,14,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-08,Click_Create_New,T1035,S10035,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-08,Click_Create_New,T1036,S10036,6,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-08,Click_Create_New,T1037,S10037,4,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-08,Click_Create_New,T1038,S10038,5,TRUE,0,Assessment_Assignment,Teacher,2
2024-12-08,Select_Content,T1035,S10035,47,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-08,Select_Content,T1036,S10036,39,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-08,Select_Content,T1037,S10037,54,TRUE,0,Assessment_Assignment,Teacher,3
2024-12-08,Open_Differentiation,T1035,S10035,22,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-08,Open_Differentiation,T1036,S10036,19,TRUE,0,Assessment_Assignment,Teacher,4
2024-12-08,Configure_Levels,T1035,S10035,167,TRUE,3,Assessment_Assignment,Teacher,5
2024-12-08,Configure_Levels,T1036,S10036,201,FALSE,5,Assessment_Assignment,Teacher,5
2024-12-08,Assign_To_Groups,T1035,S10035,81,TRUE,1,Assessment_Assignment,Teacher,6
2024-12-08,Complete_And_Publish,T1035,S10035,29,TRUE,0,Assessment_Assignment,Teacher,7
2024-12-09,Open_Assignments,T1040,S10040,11,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-09,Open_Assignments,T1041,S10041,10,TRUE,0,Assessment_Assignment,Teacher,1
2024-12-09,Open_Assignments,T1042,S10042,13,TRUE,0,Assessment_Assignment,Teacher,1
